address	street	address:name	street:name	town	administrative-area	postcode	long	lat
200002533135	39000271	HM PRISON STANDFORD HILL	CHURCH ROAD	EASTCHURCH	KENT	ME12 4AA	51.3949962	0.8509515
100062087838	39001491	HM PRISON SWALESIDE	BRABAZON ROAD	EASTCHURCH	KENT	ME12 4AX	51.3938203	0.8550324
200001335547	37600625	54/H M PRISON STAFFORD	GAOL ROAD	STAFFORD	STAFFORDSHIRE	ST16 3AW	52.8115308	-2.1184485
10008626900	33201574	HMP STOCKEN	STOCKEN HALL ROAD	STRETTON	RUTLAND	LE15 7RD	52.7459508	-0.5817709
10013133936	28200678	H.M. YOUNG OFFENDERS INSTITUTION	WARRANT ROAD	STOKE HEATH	SHROPSHIRE	TF9 2JL	52.8695965	-2.5234066
100012881776	24102227	STYAL PRISON	STYAL ROAD	WILMSLOW	CHESHIRE EASTT	SK9 4HR	53.3411448	-2.2381151
10070076922	10926891	H M PRISON SUDBURY	UNNAMED ROAD FROM A515 TO SUDBURY PRISON	SUDBURY	DERBYSHIRE	DE6 5HW	52.8927835	-1.768246
100100986762	39101844	200	OYSTERMOUTH ROAD	CITY CENTRE	SWANSEA	SA1 3SR	51.6153874	-3.948904
10013212207	23401500	HM YOUNG OFFENDERS INSTITUTE SWINFEN HALL	THE DRIVE	LICHFIELD	STAFFORDSHIRE	WS14 9QS	52.6533676	-1.8050307
10010227695	20800692	HMP THAMESIDE	GRIFFIN MANOR WAY	THAMESMEAD	GREENWICH	SE28 0FJ	51.4934468	0.0875289
200004050582	10340140	THE MOUNT HMP	MOLYNEAUX AVENUE	BOVINGDON	HERTFORDSHIRE	HP3 0NZ	51.7247267	-0.5413291
200000978972	42200387	HMYOI THORN CROSS	ARLEY ROAD	APPLETON	WARRINGTON	WA4 4RL	53.350134	-2.5409757
200000955803	47300614	47/HER MAJESTYS PRISON USK	MARYPORT STREET	USK	MONMOUTHSHIRE	NP15 1XP	51.6994304	-2.9004925
10070565745	44000932	H M PRISON	THE VERNE	PORTLAND	DORSET	DT5 1EQ	50.5613524	-2.4356139
63131104	41804937	5/HM PRISON	LOVE LANE		WAKEFIELD	WF2 9AG	53.6833107	-1.5092865
121050999	22902302	HER MAJESTY PRISON WANDSWORTH	HEATHFIELD ROAD	LONDON	WANDSWORTH	SW18 3HX	51.4500209	-0.1776135
